"","id","search_query","topic","top_terms"
"383",10107,"israel palestine war",2,"schools, texas, ten, commandments, public, religious"
"384",10107,"israel palestine war",3,"abortion, smith, connor, anyone, clinic"
"385",94167,"israel palestine war",1,"gaza, starvation, now, mass, piece"
"386",94167,"israel palestine war",2,"alex, israel, gaza, now, beginning"
"387",94167,"israel palestine war",3,"gaza, just, food, israel, system"
"388",30994,"israel palestine war",1,"tonight, now, president, know, musk"
"389",30994,"israel palestine war",2,"tonight, just, news, authorities, david"
"390",30994,"israel palestine war",3,"tonight, trump, musk, president, new"
"391",16959,"israel palestine war",1,"trump, people, new, administration, aid"
"392",16959,"israel palestine war",2,"people, trump, new, students, home"
"393",16959,"israel palestine war",3,"israeli, gaza, day, wednesday, home"
"394",11072,"israel palestine war",1,"know, just, see, now, trump"
"395",11072,"israel palestine war",2,"blah, now, one, like, trump"
"396",11072,"israel palestine war",3,"like, know, people, day, said"
"397",47971,"israel palestine war",1,"elon, musk, like, know, going"
"398",47971,"israel palestine war",2,"trump, right, harvard, one, get"
"399",47971,"israel palestine war",3,"know, get, good, guy, think"
"400",81945,"israel palestine war",1,"going, like, know, musk, yes"
"401",81945,"israel palestine war",2,"elon, also, ernst, okay, think"
"402",81945,"israel palestine war",3,"biden, just, know, joe, ketamine"
"403",34188,"israel palestine war",1,"trump, donald, new, deals, golf"
"404",34188,"israel palestine war",2,"donald, president, care, trump, like"
"405",34188,"israel palestine war",3,"trump, family, meme, number, want"
"406",65346,"israel palestine war",1,"scandal, musk, biden, laughter, just"
"407",65346,"israel palestine war",2,"like, trump, just, guy, eye"
"408",65346,"israel palestine war",3,"biden, know, president, think, laughter"
"409",83688,"israel palestine war",1,"even, kids, five, houses, know"
"410",83688,"israel palestine war",2,"know, yeah, trying, people, balata"
"411",83688,"israel palestine war",3,"now, people, big, families, whole"
"412",39296,"israel palestine war",1,"israeli, israel, palestinians, gaza, libya"
"413",39296,"israel palestine war",2,"gaza, israel, said, israel's, well"
"414",39296,"israel palestine war",3,"gaza, israel, strip, can, population"
"415",14112,"israel palestine war",1,"parliament, things, plan, see, work"
"416",14112,"israel palestine war",2,"know, conservatives, government, things, big"
"417",14112,"israel palestine war",3,"country, budget, government, plan, work"
"418",68951,"israel palestine war",1,"gaza, completely, aid, day, food"
"419",68951,"israel palestine war",2,"people, humanitarian, water, israeli, get"
"420",68951,"israel palestine war",3,"gaza, humanitarian, israel, electricity, aid"
"421",97734,"israel hamas war",1,"jerusalem, going, know, green, line"
"422",97734,"israel hamas war",2,"one, line, living, temple, say"
"423",97734,"israel hamas war",3,"green, temple, israel, palestinians, line"
"424",28992,"israel hamas war",1,"country, new, assad, now, war"
"425",28992,"israel hamas war",2,"government, country, syria, many, international"
"426",28992,"israel hamas war",3,"syria, many, war, arab, government"
"427",75293,"israel hamas war",1,"like, operation, israeli, mad, leader"
"428",75293,"israel hamas war",2,"dubai, operation, passports, allies, one"
"429",75293,"israel hamas war",3,"hamas, passports, israel, well, mad"
"430",37699,"israel hamas war",1,"hamas, tunnels, israel, gaza, israeli"
"431",37699,"israel hamas war",2,"tunnels, israel, hamas, gaza, israeli"
"432",37699,"israel hamas war",3,"tunnels, weapons, underground, palestinian, homes"
"433",15813,"israel hamas war",1,"rescue, can, people, four, ship"
"434",15813,"israel hamas war",2,"gaza, now, people, can, nonviolent"
"435",15813,"israel hamas war",3,"flotilla, gaza, people, ship, also"
"436",92020,"israel hamas war",1,"just, first, like, one, know"
